Benchmarks	system.cpu.icache.overall_miss_rate::total
speclibm_264	0.012571
speclibm_265	0.012571
speclibm_266	0.010607
speclibm_267	0.012571
speclibm_268	0.012571
speclibm_269	0.010607
speclibm_270	0.017271
speclibm_271	0.010607
speclibm_272	0.017271
speclibm_273	0.012571
speclibm_274	0.017271
speclibm_275	0.010607
speclibm_276	0.012571
speclibm_277	0.012571
speclibm_278	0.010607
speclibm_279	0.010607
speclibm_280	0.010607
speclibm_281	0.010607
speclibm_282	0.010607
speclibm_283	0.010607
speclibm_284	0.012571
speclibm_285	0.012571
speclibm_286	0.010607
speclibm_287	0.017271
speclibm_288	0.010607
speclibm_289	0.012571
speclibm_290	0.010607
speclibm_291	0.010607
speclibm_292	0.010607
speclibm_293	0.012571
speclibm_294	0.012571
speclibm_295	0.017271
speclibm_296	0.017271
speclibm_297	0.017271
speclibm_298	0.012571
speclibm_299	0.010607
speclibm_300	0.017555
speclibm_301	0.017554
speclibm_302	0.017554
speclibm_303	0.010520
speclibm_304	0.012633
speclibm_305	0.017554
speclibm_306	0.017554
speclibm_307	0.012586
speclibm_308	0.012586
speclibm_309	0.017598
speclibm_310	0.012586
speclibm_311	0.017598
speclibm_312	0.018527
speclibm_313	0.012586
speclibm_314	0.017598
speclibm_315	0.012586
speclibm_316	0.012586
speclibm_317	0.012586
speclibm_318	0.017597
speclibm_319	0.010450
speclibm_320	0.010450
speclibm_321	0.018527
speclibm_322	0.013373
speclibm_323	0.011061
speclibm_324	0.018527
speclibm_325	0.013373
speclibm_326	0.011061
speclibm_327	0.018527
speclibm_328	0.013373
speclibm_329	0.011061
speclibm_330	0.018527
speclibm_331	0.013373
speclibm_332	0.011061
speclibm_333	0.018527
speclibm_334	0.013373
speclibm_335	0.011061
speclibm_336	0.018527
speclibm_337	0.013373
speclibm_338	0.011061
speclibm_339	0.018527
speclibm_340	0.013373
speclibm_341	0.011061
speclibm_342	0.018527
speclibm_343	0.013373
speclibm_344	0.011061
speclibm_345	0.018527
speclibm_346	0.013373
speclibm_347	0.011061
speclibm_348	0.018527
speclibm_349	0.013373
speclibm_350	0.011061
speclibm_351	0.018527
speclibm_352	0.013373
speclibm_353	0.011061
speclibm_354	0.018527
speclibm_355	0.013373
speclibm_356	0.011061
speclibm_357	0.018527
speclibm_358	0.013373
speclibm_359	0.011061
speclibm_360	0.018527
speclibm_361	0.013373
speclibm_362	0.011061
speclibm_363	0.018527
speclibm_364	0.013373
speclibm_365	0.011061
speclibm_366	0.018527
speclibm_367	0.013373
speclibm_368	0.011061
speclibm_369	0.018527
speclibm_370	0.013373
speclibm_371	0.011061
speclibm_372	0.018527
speclibm_373	0.013373
speclibm_374	0.011061
speclibm_375	0.018509
speclibm_376	0.013527
speclibm_377	0.011102
speclibm_378	0.018509
speclibm_379	0.013527
speclibm_380	0.011112
speclibm_381	0.018509
speclibm_382	0.013527
speclibm_383	0.011112
speclibm_384	0.018509
speclibm_385	0.013527
speclibm_386	0.011112
speclibm_387	0.018509
speclibm_388	0.013527
speclibm_389	0.011112
speclibm_390	0.018509
speclibm_391	0.013527
speclibm_392	0.011112
speclibm_393	0.018509
speclibm_394	0.013527
speclibm_395	0.011112
speclibm_396	0.018509
speclibm_397	0.013527
speclibm_398	0.011112
speclibm_399	0.018509
speclibm_400	0.013527
speclibm_401	0.011112
speclibm_402	0.018509
speclibm_403	0.013527
speclibm_404	0.011112
speclibm_405	0.018509
speclibm_406	0.013527
speclibm_407	0.011112
speclibm_408	0.018509
speclibm_409	0.013527
speclibm_410	0.011112
speclibm_411	0.018509
speclibm_412	0.013527
speclibm_413	0.011112
speclibm_414	0.018509
speclibm_415	0.013527
speclibm_416	0.011112
speclibm_417	0.018509
speclibm_418	0.013527
speclibm_419	0.011112
speclibm_420	0.018509
speclibm_421	0.013527
speclibm_422	0.011112
speclibm_423	0.018509
speclibm_424	0.013527
speclibm_425	0.011112
speclibm_426	0.018509
speclibm_427	0.013527
speclibm_428	0.011112
speclibm_429	0.018509
speclibm_430	0.013527
speclibm_431	0.011112
speclibm_432	0.018509
speclibm_433	0.013527
speclibm_434	0.011112
speclibm_435	0.018509
speclibm_436	0.013527
speclibm_437	0.011112
speclibm_438	0.018509
speclibm_439	0.013527
speclibm_440	0.011112
speclibm_441	0.018509
speclibm_442	0.013527
speclibm_443	0.011112
speclibm_444	0.018509
speclibm_445	0.013527
speclibm_446	0.011112
speclibm_447	0.018509
speclibm_448	0.013527
speclibm_449	0.011112
speclibm_450	0.018529
speclibm_451	0.013372
speclibm_452	0.011041
speclibm_453	0.018529
speclibm_454	0.013372
speclibm_455	0.011051
speclibm_456	0.018529
speclibm_457	0.013372
speclibm_458	0.011051
speclibm_459	0.018529
speclibm_460	0.013372
speclibm_461	0.011051
speclibm_462	0.018529
speclibm_463	0.013372
speclibm_464	0.011051
speclibm_465	0.018529
speclibm_466	0.013372
speclibm_467	0.011051
speclibm_468	0.018529
speclibm_469	0.013372
speclibm_470	0.011051
speclibm_471	0.018529
speclibm_472	0.013372
speclibm_473	0.011051
speclibm_474	0.018529
speclibm_475	0.013372
speclibm_476	0.011051
speclibm_477	0.018529
speclibm_478	0.013372
speclibm_479	0.011051
speclibm_480	0.018529
speclibm_481	0.013372
speclibm_482	0.011051
speclibm_483	0.018529
speclibm_484	0.013372
speclibm_485	0.011051
speclibm_486	0.018529
speclibm_487	0.013372
speclibm_488	0.011051
speclibm_489	0.018529
speclibm_490	0.013372
speclibm_491	0.011051
speclibm_492	0.018529
speclibm_493	0.013372
speclibm_494	0.011051
speclibm_495	0.018529
speclibm_496	0.013372
speclibm_497	0.011051
speclibm_498	0.018529
speclibm_499	0.013372
speclibm_500	0.011051
speclibm_501	0.018529
speclibm_502	0.013372
speclibm_503	0.011051
speclibm_504	0.018529
speclibm_505	0.013372
speclibm_506	0.011051
speclibm_507	0.018529
speclibm_508	0.013372
speclibm_509	0.011051
speclibm_510	0.018529
speclibm_511	0.013372
speclibm_512	0.011051
speclibm_513	0.018529
speclibm_514	0.013372
speclibm_515	0.011051
speclibm_516	0.018529
speclibm_517	0.013372
speclibm_518	0.011051
speclibm_519	0.018529
speclibm_520	0.013372
speclibm_521	0.011051
speclibm_522	0.018529
speclibm_523	0.013372
speclibm_524	0.011051
speclibm_525	0.018530
speclibm_526	0.013373
speclibm_527	0.011042
speclibm_528	0.018530
speclibm_529	0.013373
speclibm_530	0.011052
speclibm_531	0.018530
speclibm_532	0.013373
speclibm_533	0.011052
speclibm_534	0.018530
speclibm_535	0.013373
speclibm_536	0.011052
speclibm_537	0.018530
speclibm_538	0.013373
speclibm_539	0.011052
speclibm_540	0.018530
speclibm_541	0.013373
speclibm_542	0.011052
speclibm_543	0.018530
speclibm_544	0.013373
speclibm_545	0.011052
speclibm_546	0.018530
speclibm_547	0.013373
speclibm_548	0.011052
speclibm_549	0.018530
speclibm_550	0.013373
speclibm_551	0.011052
speclibm_552	0.018530
speclibm_553	0.013373
speclibm_554	0.011052
speclibm_555	0.018530
speclibm_556	0.013373
speclibm_557	0.011052
speclibm_558	0.018530
speclibm_559	0.013373
speclibm_560	0.011052
speclibm_561	0.018530
speclibm_562	0.013373
speclibm_563	0.011052
speclibm_564	0.018530
speclibm_565	0.013373
speclibm_566	0.011052
speclibm_567	0.018530
speclibm_568	0.013373
speclibm_569	0.011052
speclibm_570	0.018530
speclibm_571	0.013373
speclibm_572	0.011052
speclibm_573	0.018530
speclibm_574	0.013373
speclibm_575	0.011052
